code,discount_amount,description
AFFM2,$2 off,Orders over $15.
AFFM4,$4 off,Orders over $35.
AFFM7,$7 off,Orders over $50.
AFFM9,$9 off,Orders over $70.
AFFM13,$13 off,Orders over $100.
AFFM20,$20 off,Orders over $150.
AFFM25,$25 off,Orders over $175.
AFFM40,$40 off,Orders over $300.
AFFM55,$55 off,Orders over $400.
USAFF2,$2 off,Orders over $15.
USAFF4,$4 off,Orders over $35.
USAFF7,$7 off,Orders over $50.
USAFF9,$9 off,Orders over $70.
USAFF16,$16 off,Orders over $100.
USAFF25,$25 off,Orders over $175.
USAFF35,$35 off,Orders over $250.
USAFF40,$40 off,Orders over $300.
USAFF55,$55 off,Orders over $400.
NEWUS04OFF,$4 off,New user orders over $10.
NEWUS012OFF,$12 off,New user orders over $80.
