code,discount_amount,description
ANMS10,10% off,Mobile service
carcare10,10% off,Car care services
BRAKES10,10% off,Aftermarket brake pads
SAFETY10,10% off,Brake pads and rotors $200+
GEARUP10,10% off,Select gear
ANEXCLUSIVE30,30% off,Exclusive offer
TYODG,45% off,Select parts
WELCOME10,10% off,Welcome offer
PARTS15,15% off,Auto parts
SERVICE20,20% off,Repair services
OILCHANGE10,10% off,Oil change
TIRES25,$25 off,Tire purchase
MAINTENANCE15,15% off,Maintenance plans
EMAIL10,10% off,Email signup
MILITARY20,20% off,Military discount
STUDENT15,15% off,Student discount
SENIOR10,10% off,Senior discount
FAMILY25,25% off,Family services
CLEARANCE30,30% off,Clearance items
FLASH20,20% off,Flash sale
BF50,50% off,Black Friday deals
CYBER30,30% off,Cyber Monday
APP10,10% off,App orders
LOYALTY15,15% off,Loyalty members
PARTNER10,10% off,Partner brands
NEW15,15% off,New customers
SAVE25,25% off,Sitewide select
OEM20,20% off,OEM parts
AFTERMARKET10,10% off,Aftermarket parts
REPAIR30,30% off,Repair services
