code,discount_amount,description
CFNYC10,10% off,New York VIP Hotels
BOFA5,5% off,Select Hotels
GL82NMMM8BK7G0N4,7% off,Storewide
BENTAYLOR,5% off,Select Hotels
JOEKENNETH,5% off,Storewide
CFEXPNOV8,8% off,Hotel reservations
CFVEGAS10,10% off,Vegas hotels
CFNYC10,10% off,New York City hotels
CFCANCUN10,10% off,Cancun hotels
WINTER2025,5% off,Hotels
OFFANDAWAY,25% off,Select hotels app
ONEKEY30,30% off,One Key members
APP10,10% off,App bookings
MEMBER8,8% off,Member exclusive
TRAVEL10,10% off,Flights and hotels
HOTEL15,15% off,Hotel stays
FLIGHT20,20% off,Select flights
PACKAGE25,25% off,Vacation packages
CAR5,5% off,Car rentals
VIP10,10% off,VIP hotels
EXCLUSIVE8,8% off,Exclusive deals
NOV2025,10% off,November bookings
BLACKFRIDAY30,30% off,Black Friday sale
CYBER10,10% off,Cyber Monday
STUDENT15,15% off,Student discounts
SENIOR10,10% off,Senior bookings
MILITARY20,20% off,Military
FAMILY25,25% off,Family packages
LASTMINUTE15,15% off,Last minute deals
BUNDLE20,20% off,Bundles
REWARD5,5% off,Rewards members
