code,discount_amount,description
MCPH7,7% off,7% off selected hotel booking with Mastercard (US/global).
MCVN7,7% off,7% off hotels when paying with Mastercard.
GRHCOMXMAS,8% off,8% off sitewide Christmas promotion.
RMNCYBERHOTEL8,8% off,8% off select hotel categories.
RMNHOT8,8% off,8% off general hotel bookings.
IDME25,8% off,8% off hotels via ID.me for professionals.
5OFF50US,$5 off,$5 off bookings of $50+ (US).
CFHOTELSFEB8,8% off,8% off hotel bookings during February.
CFNASHVILLE10,10% off,10% off hotels in Nashville.
CFCHICAGO10,10% off,10% off hotels in Chicago.
REBATES22,$20–$100 off,Tiered rebate of $20–$100 off bookings.
MOB5,5% off,5% instant discount on mobile bookings.
SA8,8% off,8% off select hotels.
MUMSNETUK7,7% off,7% off hotels in the UK.
5OFF50UK,£5 off,£5 off bookings of £50+ (UK).
5OFF50CA,$5 off,$5 off bookings of $50+ (Canada).
10OFFCAD,C$10 off,C$10 off bookings of C$100+.
MCAU8,8% off,8% off hotels in Australia with Mastercard.
AUWORLD,12% off,Approx. 12% off Australian stays with minimum spend.
MCSG8,8% off,8% off hotels in Singapore with Mastercard.
MCSG30,S$30 off,S$30 off bookings of S$300+.
AMEX8,8% off,8% off first booking with American Express.
VISA8,8% off,8% off with Visa.
SG8,8% off,8% off with DBS card (Singapore).
SGWORLD,12% off,Approx. 12% off with minimum spend in Singapore.
MCHK8,8% off,8% off hotels in Hong Kong with Mastercard.
CITIHKYRO,8% off,8% off hotels with Citi card in HK.
BOC8HK,8% off,8% off with Bank of China in HK.
BOCCHEERS,25% off,25% off 4-night stays in Hong Kong.
8HSBCHK,8% off,8% off with HSBC in Hong Kong.
HASE,8% off,8% off hotels with Hang Seng Bank.
SCB8,8% off,8% off hotels with Standard Chartered Bank.
AFDBSHK,8% off,8% off hotels with DBS Bank (HK).
AEON8HK,8% off,8% off hotels with AEON card (HK).
MCTW8,8% off,8% off hotels in Taiwan with Mastercard.
TSBH,8% off,8% off hotels with Taishin Bank (TW).
TW5OFF,5% off,5% off hotel bookings in Taiwan.
TW499OFF,NT$499 off,"NT$499 off bookings over NT$4,999."
MCJP8,8% off,8% off hotels in Japan with Mastercard.
JP1000OFF,¥1000 off,¥1000 off hotel bookings.
JP5OFF,5% off,Approximately 5% off bookings in Japan.
MCKR8,8% off,8% off hotels in South Korea with Mastercard.
MCIN8,8% off,8% off hotels in India with Mastercard.
CARDHT8,8% off,8% off hotels in India with OneCard.
MCNZ8,8% off,8% off hotels in New Zealand with Mastercard.
CN5OFF,5% off,5% off hotel bookings in China.
CN299OFF,RMB 299 off,"RMB 299 off bookings over RMB 2,999."
