code,discount_amount,description
NEW2LULUS,20% off,First order for new customers.
CINDY20,20% off,Select items.
DEALS20,20% off,Deals category.
NEWLULUSFAN,20% off,First order.
NEW15HDAYCAPONE,15% off,Sitewide.
20SPRING,20% off,Spring favourites.
GAMETIMEAPP,20% off,When using the app.
COCKTAILAPP,20% off,Via mobile app.
DAYPARTYAPP,20% off,The app.
APP,20% off,General app code.
HELLO2026,30% off,2026 Style Edit.
GTPZ26,30% off,2026 Style Edit.
ZORU40,40% off,All orders.
DRESSY50,50% off,Select dresses.
CLEARANCE40,40% off,Clearance items.
026,30% off,2026 Style Edit.
NATALIEZ20,20% off,With influencer code.
KAYLAE20,20% off,Via influencer code.
SALLEY20,20% off,Via influencer code.
8SG,8% off,Select purchases.
ING,20% off,Sitewide.
S20,20% off,Select styles.
LUS,20% off,Selected items.
Z20,20% off,General code.
A20,20% off,Orders sitewide.
PARTY15APP,15% off,Via mobile app.
SHOES20,20% off,Shoes.
