code,discount_amount,description
NIKECOMBO,Up to 70% off,Nike sale footwear and apparel
ACCESS20,Up to 60% off,Nike member sale styles
NORETURNSNIKE10,Up to 50% off,Nike final sale clearance items
ACCESS,25% off,Nike sale footwear and apparel
ASH,25% off,Nike sitewide online orders
T23,25% off,Nike orders over $150
NIKEHS25,25% off,Nike seasonal style picks
FLASH25,25% off,Nike flash sale items
MEMBER25,25% off,Nike member-only purchases
BIRTHDAY25,25% off,Nike member birthday month orders
BEPEJA20,20% off,Nike sitewide online orders
RUNANNIE,20% off,Nike running gear purchases
LEVELUP,20% off,Nike training and performance products
BTS20,20% off,Nike back-to-school styles
15EXTRA,15% off,Nike sale footwear and apparel
15%OFF,15% off,Nike member-only orders
SPORT,20% off,Nike sport style products
DAD,10% off,Nike Father's Day gift orders
CYBER10,10% off,Nike Cyber sale items
NIKE10COMUNIDAD,10% off,Nike community sitewide orders
UNIDA6AK64URDT,10% off,Nike community member items
9E10685B,10% off,Nike single-use online order
WINNOW,Extra 25% off,Nike sale footwear and apparel
BFRIDAY25,25% off,Nike full-price Black Friday items
CYBER30,30% off,Nike Cyber sale styles
APP25,25% off,Nike app full-price items
BEYOU10,10% off,Nike entire online order
GOBIG24,25% off,Nike promotional style picks
TREATYOURSELF,25% off,Nike selected footwear and apparel
