code,discount_amount,description
ATION15,15% off,Digital games.
CTIK,10% off,Digital games.
DAYSOFPLAY20,20% off,Purchase.
DAYSOFPLAY22,20% off,Purchase.
DAYSOFPLAY24,20% off,Purchase.
DAYSOFPLAY25,25% off,Purchase.
DAYSOFPLAY26,20% off,Purchase.
EVO2025,15% off,Purchase.
EXTRA75,75% off membership,Plus membership.
H9JDFD57MN,40% off,Purchase.
MIDYEARSALE,20% off,Purchase.
PLAYSTATION15,15% off,Purchase.
PRIDE2025,25% off,Purchase.
SACKBOY10,10% off,Purchase.
SPOOKY,30% off,Purchase.
VITAL,30% off,Consoles and hardware.
WEEKENDSAVE,10% off,Purchases on Saturdays only.
