code,discount_amount,description
BF25PROMO,Up to 70% off,Longer plans.
VPNPLUSINF032025,Around 40% off,Plans.
VPNINTROPRICE2025,Up to 60% off,Your first year or two.
VPNPLUS052024PROMO,60% off,Subscriptions.
DESCUENTOANUAL20%,20% off,Annual plans.
VPNPLUSFREE2024,Extra free months,Or heavy discounts on subscriptions.
TRYVPNPLUS2024,Up to 50-60% off,Trial plans.
VPN24SAVE,60-70% off,Two-year plans.
VPNUKMKTDEAL2025,64% off,Select subscriptions.
SEP25SALE,50-70% off,During September sale.
VPNINTROPRICE2024,Up to 60% off,Your first plan.
VPNPLUS052025PROMO,40-60% off,Subscriptions.
VPN24DEAL,70% off,24-month plan.
HONEYPROTONSAVINGS,20-50% off,Via Honey coupon.
STUDENTBEAN1124,20-40% off,Students through Student Beans.
PROTONBDAYSALE25,Up to 50% off,Birthdays.
PRO10,10% off,Your subscription.
THANKYOU10,10% off,As a thank-you discount.
ct3,30% off,Select plans.
GhostStrats,20-40% off,With GhostStrats promo.
proton,10-20% off,Subscription.
PROTONVPN,15-30% off,Plus and Unlimited plans.
NERDZIKA,Around 25% off,Plan.
bundle2022,20-40% off,Bundle.
UNLIDEAL0126,Up to 46% off,Unlimited plan.
UNLISAVE0126,40-50% off,Unlimited plan.
VPN70OFF,70% off,2-year plans.
PLUS60,60% off,1-year Plus plan.
NEWUSER70,70% off,Longer-term plans for new users.
PROTONDEAL26,50-70% off,Subscription.
SAVE168,Save $168 70% off,Long term plan.
2YEAR70,70% off,24-month plan.
1YEAR60,60% off,Annual plan.
PRIVACY70,Up to 70% off,Plans.
FASTVPN60,60% off,High-speed plan.
PROTONBEST,70% off,Top plan.
SECURE25,25% off,Upgrade.
STREAM70,70% off,Streaming plan.
ADBLOCK50,50% off,With NetShield and Adblock.
SWISSVPN,60-70% off,With Swiss code.
VPNPLUSINF032026,40% off,Plans through May 31 2026.
VPNPCMAG2026,75% off,Select plans.
