code,discount_amount,description
TEE15,15% off,15% off any Saily eSIM plan.
LEEJEAM15,15% off,15% off all plans.
ZLOTKOO,15-20% off,15-20% off eSIM purchases.
SAILY10,10% off,10% off global eSIM plans.
DEMAND5,5% off,5% off for new customers.
JOSHRIMER,15% off,About 15% off across the store.
WATECA6691,$5 off,$5 off your order total.
ZALGIRIS,15% off,15% off any mobile data plan.
SNOW5,5% off,5% off plans with 10GB or more data.
JEN15,15% off,15% off your order.
TRYSAILY5,5% off,5% off first-time orders.
CARTER9459,$10 off,$10 off eligible plans.
SAMIRW8757,$8 off,$8 off your order.
HELLOSAILY,15% off,15% off all plans.
