code,discount_amount,description
NEWONLY30,30% off + free shipping,SHEIN first order with free shipping
US24J2,Up to 20% off,SHEIN US tiered savings orders
USGSG30,Up to 30% off,SHEIN US fashion orders
AFFILI30,30% off,SHEIN orders over $29
KIMFEST,Up to 30% off,SHEIN festival deal items
XWZH3,50% off,SHEIN fashion orders
25QSELLA,20% off,SHEIN fashion orders
25BFESTELLE,15% off,SHEIN fashion orders
25BFKmumcelia701,15% off,SHEIN creator fashion orders
UGUSZX25092809,15% off,SHEIN fashion checkout orders
SALEAndreialeifer,Up to 10% off,SHEIN influencer fashion orders
25CSsarahpereez979,10% off,SHEIN creator fashion orders
CAMATHIDE25,Up to 10% off,SHEIN fashion item orders
25PSKsydneyeifert751,Up to 10% off,SHEIN creator fashion orders
USHT1112ZS01JA13,10% off,SHEIN fashion orders
MGUGWM1112,Up to 10% off,SHEIN fashion orders
usht1112zs03p2ym,Up to 10% off,SHEIN fashion orders
usht1112zs02hm7i,5% off,SHEIN fashion orders
EMF6HQK,60% off,SHEIN new user app items
PD6ZF,Influencer discount,SHEIN influencer fashion orders
S4U,20% off,SHEIN first fashion order
yay2y,$20 off,SHEIN home and living orders
PKP4,25% off,SHEIN baby and maternity items
PKP3,30% off,SHEIN beauty products
PKP2,40% off,SHEIN kids clothing
ug250618uszx11,Up to $12 off,SHEIN kids clothing orders
CStorecarolinaleoa802,15% off,SHEIN creator store items
Q3CARLAM,10% off,SHEIN creator fashion items
euraugsfpk26011610f,65% off,SHEIN beachwear items
febnb16,10% off,SHEIN home textile orders
febnew02b,10% off,SHEIN baby and maternity orders
ST12MARIANACSOFIA091,10% off,SHEIN creator fashion picks
LY3BF,10% off,SHEIN fashion checkout orders
SHEN15,15% off + free shipping,SHEIN fashion order with free shipping
ALCP,Up to 50% off,SHEIN first customer orders
MEAF25,15% off + free delivery,SHEIN fashion order with free delivery
EID24Lana,20% off,SHEIN Eid fashion orders
EID350,350 SAR off,SHEIN large Saudi Arabia orders
SAO,18% off,SHEIN high-value cart orders
QD6DV,10% off,SHEIN fashion checkout orders
AFFQ130,30% off,SHEIN new user fashion orders
SGNEW,S$6 off,SHEIN Singapore first app purchase
PHP150,PHP150 off,SHEIN Philippines fashion orders
PHP200,PHP200 off,SHEIN Philippines fashion orders
NT$50,NT$50 off,SHEIN Taiwan orders over NT$699
300K,"300,000 VND off",SHEIN Vietnam fashion orders
5JBXH,Large discount,SHEIN Pakistan fashion orders
SHEAU30,30% off,SHEIN Australia fashion orders
24Q3ABENALOVE,20% off,SHEIN creator fashion orders
w22aus1,$13.98 off,SHEIN Australia fashion orders
BFCARDI,Holiday savings,SHEIN holiday sale fashion orders
26Hazrandmom686,$10 off,SHEIN checkout orders
RSquimimo027,15% off,SHEIN sitewide fashion orders
DXGR9,60% off,SHEIN fashion items
MARZAMICHEBOOYSE642,30% off,SHEIN clothing orders
ALYSSAR15,15% off,SHEIN fashion orders
CA2026,20% off,SHEIN Canada fashion orders
KLANOV,60% off,SHEIN fashion orders with free shipping
4FXRN,30% off,SHEIN fashion orders
GLOWMODE,15% off,SHEIN activewear items
SHEINDPF15US,15% off,SHEIN US fashion orders
6C88DQVN,$40 off,SHEIN cart orders
3CK7F,60% off,SHEIN first fashion orders
