code,discount_amount,description
W15,15% off,SPELAB full-price auto parts orders
L20,20% off,SPELAB clearance and sale parts
N15,15% off,SPELAB selected truck parts categories
N20,20% off,SPELAB truck parts purchases
F12,12% off,SPELAB sitewide auto parts orders
N18,18% off,SPELAB total purchase amount
y15,15% off,SPELAB performance parts orders
F16,16% off,SPELAB accessory categories
M20,20% off,SPELAB auto accessory purchases
Y10,10% off,SPELAB full order or product picks
H10,10% off,SPELAB seasonal sitewide orders
E10,10% off,SPELAB first purchase ever
ATE,15% off,SPELAB sitewide auto parts orders
PE5,5% off,SPELAB first order purchases
217,$10 off,SPELAB auto parts orders
AFF18,18% off,SPELAB affiliate sitewide orders
COVE16,16% off,SPELAB entire cart orders
FD10,10% off,SPELAB sitewide auto parts orders
SPEGG15,15% off,SPELAB first order purchases
Ruiz,10% off,SPELAB influencer partner orders
SPGIFT,30% off,SPELAB high-value seasonal orders
SPEG15,15% off,SPELAB selected parts collections
CM25,25% off,SPELAB auto parts categories
SPELAB15US,15% off,SPELAB US sitewide orders
Devin,10% off,SPELAB auto parts and accessories
