code,discount_amount,description
TRIPFLIGHT26,$15 off $350+ flights + $3 off $100+ bookings,Flight and booking offer.
TRIPCAR8,8% off,Car rentals for new customers.
ALLSEO10,10% off,Attractions and tours.
EUGREEN,5% off,Europe train bookings for new users.
RGXU2I,$10 off,New user code.
INSTALL8OFF,8% off,When booking through the app.
TRIPVISAF6US,$6 off,Flight bookings over $250.
MCTRIP20,20% off,Mastercard promotion for flights and hotels.
MCTRIP15,15% off,Mastercard promotion for flights and hotels.
MCTRIP10,10% off,Mastercard promotion for flights and hotels.
AMEX26H,Up to 8% off,Select Hong Kong hotel bookings with Amex.
AMEX26F,HKD50-HKD200 off,Hong Kong flight bookings with Amex.
AMEX26CR,5% off,Select car rentals for Hong Kong Amex cardholders.
TRAVELERHK26H,5% off,Hong Kong hotel bookings.
TRAVELERHK26F,2% off,Hong Kong flight bookings.
TRIPCREATORT,5% off,Tickets and experiences.
HSBCSPSL,15% off,Weekend flights for HSBC Premier Mastercard holders in Malaysia.
HSBCMC,12% off,Weekend flights for eligible Malaysian HSBC Mastercard holders.
HSBCALL,10% off,Weekend flights for Malaysian HSBC and Amanah Visa cards.
PBSTAYVI,Up to 20% off,Hotels for Public Bank Visa Infinite cardholders.
PBFLYVI,Up to 20% off,Flights for Public Bank Visa Infinite cardholders.
MBBSTAY9,9% off,Hotels for new Maybank Malaysia cardholders.
MBBSTAY7,7% off,Hotels for existing Maybank Malaysia users.
VISATH12,12% off,Accommodations for Bangkok Bank Visa cardholders.
VISATH8,8% off,Flights for Bangkok Bank Visa cardholders.
MCFLY3,3% off,Flights for Mastercard holders in Australia and New Zealand.
SAFRAHOTEL6,6% off,Hotel bookings for Singapore SAFRA members.
SAFRAFLIGHT2,2% off,Flights for Singapore SAFRA members.
HUKD15OFF,15% off,UK train tickets for new app users.
PNFLY4TRIPF,4% off,Flights.
PNFLY6TRIPH,6% off,Hotels.
PLAYNFLYCR9,9% off,Car rentals.
TRIPHOTEL5OFF,5% off,Prepaid hotel bookings.
TRIPTRAIN2P,2% off,Train bookings for existing users.
