code,discount_amount,description
HOLIDAY10,$10 off,Walmart grocery holiday season orders
EXPRESSDELIVERY,Free delivery,Walmart grocery express delivery orders
TRIPLE15,$15 off,Walmart first three grocery orders
TODAY10,$10 off,Walmart grocery orders over $50 for new customers
PAYPAL10,$10 off,Walmart grocery orders paid with PayPal
THANKYOU5,$5 off,Walmart grocery thank-you orders
THANKFUL,$5 off,Walmart grocery thankful promotion orders
30WMOFF,$30 off,Walmart qualifying grocery order
E10,$10 off,Walmart grocery basket orders
OTTAWA80,$80 off,Walmart Ottawa first grocery order
SURREY80,$80 off,Walmart Surrey first grocery order
MONCTON80,$80 off,Walmart Moncton first grocery order
HALIFAX80,$80 off,Walmart Halifax first grocery order
FALLSAVE40,$40 off,Walmart first grocery order over $100
